angles,ranges
186.74069,108.8
186.75207,108.8
186.75666,108.8
186.8518,110.3
187.37354,108.8
187.40222,110.4
187.42811,108.8
187.435,108.8
187.53777,108.8
187.74,108.8
187.97,108.8
188.04806,108.8
188.06374,108.8
188.10415,108.8
188.11333,108.8
188.22375,108.8
188.40305,108.8
188.63687,110.3
188.72257,108.8
188.72527,108.8
188.78019,108.8
188.79166,108.8
188.90971,108.8
189.06611,108.8
189.30374,108.8
189.3868,108.8
189.39708,108.8
189.45624,108.8
189.59569,108.8
189.64999,108.8
189.72916,108.8
189.97062,108.8
190.07159,108.8
190.13227,107.2
190.31228,108.8
190.39222,108.8
190.55999,108.8
190.63749,108.8
190.74611,108.8
190.80832,108.8
190.97457,108.8
191.05528,108.8
191.22228,108.8
191.30437,110.3
191.42062,110.3
191.48436,110.3
191.63686,110.3
191.88457,110.3
192.43999,110.3
221.6343,181.9
221.86388,180.3
222.16555,181.9
222.27674,178.8
222.37764,181.9
222.83778,177.2
223.03917,178.8
223.51,174.1
223.70069,174.1
224.18222,171
224.36222,171
224.66,172.6
224.85445,169.5
225.02375,167.9
225.33527,171
225.68527,164.8
226.01055,166.3
226.34681,161.7
226.49999,166.3
226.68583,163.2
227.17527,163.2
227.36111,160.1
227.85055,160.1
228.03638,158.6
228.52583,157
228.69,158.6
228.71166,155.5
229.2011,155.4
229.34389,155.4
229.35999,157
229.38694,153.9
229.87638,153.9
229.99777,153.9
230.01235,155.4
230.06222,150.8
230.55166,150.8
230.65166,150.8
230.66471,152.3
230.69999,153.9
230.7375,149.2
231.22693,149.2
231.30555,149.2
231.31708,149.2
231.37527,150.8
231.41277,146.1
231.90222,146.1
231.95944,147.7
231.96944,147.7
232.05054,147.7
232.08805,144.6
232.46,147.7
232.57749,144.6
232.61333,146.1
232.6218,146.1
232.72582,146.1
232.74999,146.1
233.12764,146.1
233.25277,143
233.26722,143
233.27416,143
233.4011,144.6
233.41686,144.6
233.79527,143
233.92111,141.4
233.92652,141.4
233.92805,141.4
234.07638,143
